"Wins (home)","Losses (home)","Home Team","Game Score (home)","Game Score (away)","Away Team","Wins (away)","Losses (away)"
"4","5","Magic","123","110","Celtics","4","6"
"1","8","Wizards","114","148","Cavaliers","6","3"
"4","5","Hawks","97","109","Raptors","5","4"
"1","8","Nets","107","125","Pistons","7","2"
"6","2","Spurs","121","110","Rockets","5","3"
"5","4","Heat","126","108","Hornets","3","6"
"4","6","Grizzlies","118","104","Mavericks","2","7"
"6","3","Bucks","126","110","Bulls","6","2"
"5","4","Timberwolves","137","97","Jazz","3","6"
"6","2","Nuggets","129","104","Warriors","5","5"
"3","6","Kings","101","132","Thunder","9","1"
